id,make,model,trim,type,price,mileage,src,year,image-type
1208,BUICK,REGAL,Regal,sedan,16500,27072,cdnblob.carvana.io/2000279529/post-large/normalized/cropped/2000279529-edc-02.jpg?v=2019.3.28_17.42.57,2016,original
1209,KIA,FORTE,LX,sedan,13800,12059,cdnblob.carvana.io/2000279421/post-large/normalized/cropped/2000279421-edc-02.jpg?v=2019.4.9_18.21.52,2017,original
1210,INFINITI,Q50,3.7,sedan,20000,43565,cdnblob.carvana.io/2000279090/post-large/normalized/cropped/2000279090-edc-02.jpg?v=2019.4.9_4.57.32,2015,original
1211,CHEVROLET,CRUZE,LT,sedan,14800,23029,cdnblob.carvana.io/2000274363/post-large/normalized/cropped/2000274363-edc-02.jpg?v=2019.3.30_18.20.12,2017,original
1212,FORD,FOCUS,Titanium,sedan,16300,20867,cdnblob.carvana.io/2000269980/post-large/normalized/cropped/2000269980-edc-02.jpg?v=2019.4.2_14.8.44,2018,original
1213,NISSAN,MAXIMA,SV,sedan,21200,17830,cdnblob.carvana.io/2000283369/post-large/normalized/cropped/2000283369-edc-02.jpg?v=2019.4.4_1.10.32,2016,original
1214,ACURA,ILX,ILX,sedan,21800,11577,cdnblob.carvana.io/2000281480/post-large/normalized/cropped/2000281480-edc-02.jpg?v=2019.4.4_16.9.10,2018,original
1215,HONDA,CIVIC,LX,sedan,16300,29566,cdnblob.carvana.io/2000281491/post-large/normalized/cropped/2000281491-edc-02.jpg?v=2019.4.3_7.51.7,2016,original
1216,HONDA,CIVIC,Si,sedan,23000,16425,cdnblob.carvana.io/2000281644/post-large/normalized/cropped/2000281644-edc-02.jpg?v=2019.4.6_6.22.42,2017,original
1217,BUICK,VERANO,Convenience Group,sedan,15500,11297,cdnblob.carvana.io/2000281611/post-large/normalized/cropped/2000281611-edc-02.jpg?v=2019.4.11_6.59.42,2016,original
1218,BUICK,VERANO,Leather Group,sedan,17300,5875,cdnblob.carvana.io/2000279686/post-large/normalized/cropped/2000279686-edc-02.jpg?v=2019.3.30_13.17.54,2016,original
1219,BUICK,REGAL,Premium II,sedan,16900,35434,cdnblob.carvana.io/2000274430/post-large/normalized/cropped/2000274430-edc-02.jpg?v=2019.4.10_4.14.57,2016,original
1220,BUICK,LACROSSE,Leather,sedan,18800,33484,cdnblob.carvana.io/2000274421/post-large/normalized/cropped/2000274421-edc-02.jpg?v=2019.4.4_19.3.7,2016,original
1221,CHEVROLET,CRUZE,LT,sedan,15000,17652,cdnblob.carvana.io/2000274251/post-large/normalized/cropped/2000274251-edc-02.jpg?v=2019.3.30_18.27.36,2017,original
1222,LEXUS,ES,ES 350,sedan,26000,28026,cdnblob.carvana.io/2000278718/post-large/normalized/cropped/2000278718-edc-02.jpg?v=2019.4.10_3.34.34,2016,original
1223,TOYOTA,COROLLA,SE,sedan,17600,6857,cdnblob.carvana.io/2000279765/post-large/normalized/cropped/2000279765-edc-02.jpg?v=2019.4.5_17.59.4,2018,original
1224,VOLKSWAGEN,PASSAT,2.0T R-Line,sedan,16400,33594,cdnblob.carvana.io/2000273471/post-large/normalized/cropped/2000273471-edc-02.jpg?v=2019.3.30_16.32.37,2018,original
1225,MAZDA,MAZDA3,Touring,sedan,16400,26527,cdnblob.carvana.io/2000266966/post-large/normalized/cropped/2000266966-edc-02.jpg?v=2019.4.6_5.10.22,2017,original
1226,KIA,FORTE,LX,sedan,13200,19196,cdnblob.carvana.io/2000280620/post-large/normalized/cropped/2000280620-edc-02.jpg?v=2019.4.3_18.13.23,2017,original
1227,FORD,FUSION,SE Hybrid,sedan,14700,45342,cdnblob.carvana.io/2000279364/post-large/normalized/cropped/2000279364-edc-02.jpg?v=2019.4.1_18.53.6,2017,original
1228,HYUNDAI,ACCENT,SE,sedan,11400,43563,cdnblob.carvana.io/2000281987/post-large/normalized/cropped/2000281987-edc-02.jpg?v=2019.4.3_21.45.1,2017,original
1229,TOYOTA,AVALON,XLE,sedan,19600,37453,cdnblob.carvana.io/2000279320/post-large/normalized/cropped/2000279320-edc-02.jpg?v=2019.4.3_18.16.38,2018,original
1230,KIA,FORTE,LX,sedan,14600,15040,cdnblob.carvana.io/2000275572/post-large/normalized/cropped/2000275572-edc-02.jpg?v=2019.4.3_15.41.55,2018,original
1231,DODGE,CHARGER,SE,sedan,20800,26805,cdnblob.carvana.io/2000275059/post-large/normalized/cropped/2000275059-edc-02.jpg?v=2019.3.28_0.50.26,2017,original
1232,LEXUS,ES,ES 300h,sedan,27100,58009,cdnblob.carvana.io/2000278136/post-large/normalized/cropped/2000278136-edc-02.jpg?v=2019.4.3_3.44.59,2017,original
1233,NISSAN,VERSA,SV,sedan,11100,45368,cdnblob.carvana.io/2000277538/post-large/normalized/cropped/2000277538-edc-02.jpg?v=2019.4.13_13.13.49,2017,original
1234,HONDA,CIVIC,EX,sedan,20400,5732,cdnblob.carvana.io/2000278042/post-large/normalized/cropped/2000278042-edc-02.jpg?v=2019.3.30_19.31.39,2017,original
1235,TOYOTA,COROLLA,LE,sedan,14800,24612,cdnblob.carvana.io/2000278960/post-large/normalized/cropped/2000278960-edc-02.jpg?v=2019.4.9_14.18.57,2017,original
1236,CHEVROLET,CRUZE,LT,sedan,14700,21724,cdnblob.carvana.io/2000276573/post-large/normalized/cropped/2000276573-edc-02.jpg?v=2019.4.4_18.37.45,2017,original
1237,FORD,FIESTA,Titanium,sedan,14300,21144,cdnblob.carvana.io/2000280813/post-large/normalized/cropped/2000280813-edc-02.jpg?v=2019.4.1_19.30.48,2018,original
1238,TOYOTA,CAMRY,XLE,sedan,18100,30346,cdnblob.carvana.io/2000278249/post-large/normalized/cropped/2000278249-edc-02.jpg?v=2019.3.30_13.12.56,2016,original
1239,HYUNDAI,GENESIS,3.8,sedan,24200,21683,cdnblob.carvana.io/2000280588/post-large/normalized/cropped/2000280588-edc-02.jpg?v=2019.4.12_15.19.53,2016,original
1240,BUICK,LACROSSE,Premium,sedan,23000,22416,cdnblob.carvana.io/2000279138/post-large/normalized/cropped/2000279138-edc-02.jpg?v=2019.3.28_1.2.0,2018,original
1241,TOYOTA,COROLLA,SE,sedan,17500,7765,cdnblob.carvana.io/2000274342/post-large/normalized/cropped/2000274342-edc-02.jpg?v=2019.3.28_21.6.0,2018,original
1242,MAZDA,MAZDA6,I Grand Touring,sedan,21200,18711,cdnblob.carvana.io/2000266968/post-large/normalized/cropped/2000266968-edc-02.jpg?v=2019.4.2_13.36.14,2016,original
1243,HYUNDAI,ELANTRA,SE,sedan,13200,19333,cdnblob.carvana.io/2000274782/post-large/normalized/cropped/2000274782-edc-02.jpg?v=2019.3.28_19.1.57,2016,original
1244,INFINITI,Q70,L 3.7,sedan,25600,59956,cdnblob.carvana.io/2000273908/post-large/normalized/cropped/2000273908-edc-02.jpg?v=2019.3.30_14.18.8,2016,original
